id,label
000101,D
000102,B
000103,A
000201,D
000202,D
000301,C
000302,C
000401,D
000402,A
000501,A
000502,B
000601,C
000602,A
000701,D
000702,A
000801,A
000802,A
000901,A
000902,B
001001,B
001101,D
001102,A
001201,D
001202,B
001301,B
001302,A
001401,D
001402,C
001501,D
001601,B
001602,B
001701,C
001702,C
001801,C
001802,C
001803,C
001901,D
002001,D
002002,C
002003,C
002101,A
002201,A
002202,C
002301,C
002302,A
002401,C
002501,B
002601,C
002602,C
002701,B
002702,B
002703,C
002801,D
002802,C
002901,D
003001,C
003002,A
003101,D
003102,A
003103,B
003201,D
003301,B
003302,C
003303,C
003401,C
003402,A
003501,D
003502,B
003503,C
003601,D
003602,D
003701,C
003801,D
003901,A
003902,D
004001,C
004002,A
004101,D
004102,B
004201,D
004301,C
004401,C
004402,B
004501,C
004502,C
004601,B
004602,D
004701,B
004801,C
004802,B
004901,B
005001,A
005002,D
005101,C
005201,A
005202,C
005301,B
005302,C
005401,B
005501,D
005502,A
005601,C
005701,B
005702,A
005801,A
005901,B
006001,A
006101,D
006102,A
006201,D
006301,B
006401,A
006402,D
006501,A
006601,D
006701,C
006801,B
006802,C
006901,C
007001,B
007101,C
007102,B
007201,C
007301,C
007302,D
007401,B
007501,D
007601,A
007602,C
007701,C
007702,B
007801,C
007802,B
007803,C
007901,A
008001,A
008101,D
008102,A
008201,B
008202,B
008301,C
008401,C
008501,C
008601,B
008602,D
008603,C
008701,B
008801,C
008901,C
008902,D
009001,C
009101,B
009201,C
009301,B
009401,C
009402,B
009501,A
009502,D
009601,A
009602,B
009701,C
009702,B
009801,C
009901,D
009902,C
010001,B
010002,D
010003,D
010101,B
010102,C
010201,B
010202,A
010301,D
010302,C
010303,D
010304,A
010401,D
010402,B
010403,B
010501,B
010502,C
010601,B
010701,A
010801,C
010802,C
010901,B
010902,B
010903,A
011001,D
011101,D
011102,C
011103,D
011201,B
011301,D
011302,B
011401,D
011402,D
011501,C
011502,C
011503,C
011601,D
011701,C
011801,A
011802,A
011901,B
012001,D
012002,D
012101,A
012201,B
012202,C
012203,B
012301,A
012302,B
012303,B
012304,B
012401,B
012402,D
012501,B
012502,C
012503,D
012601,B
012602,D
